best_epoch,best_val_accuracy,best_val_auc,best_val_f1_score,best_val_loss,config_activation,config_batch_norm,config_batch_size,config_data_path,config_device,config_dropout_rate,config_early_stopping_patience,config_experiment_name,config_hidden_dims,config_input_dim,config_learning_rate,config_momentum,config_num_classes,config_num_epochs,config_num_workers,config_optimizer,config_output_dir,config_pos_weight,config_print_every,config_random_seed,config_save_best_only,config_save_plots,config_scheduler_gamma,config_scheduler_patience,config_scheduler_step_size,config_scheduler_type,config_train_split,config_use_early_stopping,config_use_scheduler,config_use_weighted_sampler,config_val_split,config_verbose,config_weight_decay,experiment_id,experiment_name,final_val_accuracy,total_epochs
25,0.8782522216162458,0.8767818290941417,0.6039862256078472,0.3702082045406836,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,lr_sweep_001_learning_rate0.001,"[512, 256]",2048,0.001,0.9,1,30,0,adam,experiments/lr_sweep_20251015_120120,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,2,lr_sweep_001_learning_rate0.001,0.8635590773475346,30
17,0.8616983734881781,0.8802417452534055,0.5960078718020804,0.33468446034754884,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,lr_sweep_000_learning_rate0.01,"[512, 256]",2048,0.01,0.9,1,30,0,adam,experiments/lr_sweep_20251015_120120,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,1,lr_sweep_000_learning_rate0.01,0.8206024830772192,27
12,0.8467806615123031,0.8819722034811985,0.5884177869700103,0.705153401391428,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,lr_sweep_002_learning_rate0.0001,"[512, 256]",2048,0.0001,0.9,1,30,0,adam,experiments/lr_sweep_20251015_120120,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,3,lr_sweep_002_learning_rate0.0001,0.8410060633280935,22
28,0.8354881139520708,0.8677238403677743,0.5672573839662447,1.4122536322330965,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,lr_sweep_003_learning_rate1e-05,"[512, 256]",2048,1e-05,0.9,1,30,0,adam,experiments/lr_sweep_20251015_120120,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,4,lr_sweep_003_learning_rate1e-05,0.8237143498764877,30
