best_epoch,best_val_accuracy,best_val_auc,best_val_f1_score,best_val_loss,config_activation,config_batch_norm,config_batch_size,config_data_path,config_device,config_dropout_rate,config_early_stopping_patience,config_experiment_name,config_hidden_dims,config_input_dim,config_learning_rate,config_momentum,config_num_classes,config_num_epochs,config_num_workers,config_optimizer,config_output_dir,config_pos_weight,config_print_every,config_random_seed,config_save_best_only,config_save_plots,config_scheduler_gamma,config_scheduler_patience,config_scheduler_step_size,config_scheduler_type,config_train_split,config_use_early_stopping,config_use_scheduler,config_use_weighted_sampler,config_val_split,config_verbose,config_weight_decay,experiment_id,experiment_name,final_val_accuracy,total_epochs
28,0.8805299797889063,0.872366186301214,0.590589270008795,0.3666483606288179,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,arch_sweep_000_hidden_dims[512],[512],2048,0.001,0.9,1,30,0,adam,experiments/arch_sweep_20251015_124009,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,1,arch_sweep_000_hidden_dims[512],0.8710660549870072,30
25,0.8782522216162458,0.8767818290941417,0.6039862256078472,0.3702082045406836,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,"arch_sweep_001_hidden_dims[512, 256]","[512, 256]",2048,0.001,0.9,1,30,0,adam,experiments/arch_sweep_20251015_124009,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,2,"arch_sweep_001_hidden_dims[512, 256]",0.8635590773475346,30
4,0.8686278913092297,0.8866577463114595,0.6107044395855119,0.32250386665834757,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,"arch_sweep_003_hidden_dims[512, 256, 128]","[512, 256, 128]",2048,0.001,0.9,1,30,0,adam,experiments/arch_sweep_20251015_124009,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,4,"arch_sweep_003_hidden_dims[512, 256, 128]",0.8504058259279459,14
1,0.8681145936928555,0.8758889788272007,0.596446451359576,0.44944939695176533,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,"arch_sweep_005_hidden_dims[1024, 512, 256, 128]","[1024, 512, 256, 128]",2048,0.001,0.9,1,30,0,adam,experiments/arch_sweep_20251015_124009,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,6,"arch_sweep_005_hidden_dims[1024, 512, 256, 128]",0.8152449392063136,11
6,0.8608001026595232,0.8829831138261878,0.6048629450869684,0.34707748963207496,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,"arch_sweep_002_hidden_dims[1024, 512]","[1024, 512]",2048,0.001,0.9,1,30,0,adam,experiments/arch_sweep_20251015_124009,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,3,"arch_sweep_002_hidden_dims[1024, 512]",0.8536139360302846,16
4,0.8571107760418337,0.8839713521829898,0.5983044733044733,0.38173764861631587,relu,True,64,data/xray_features_frontal_only.pt,cpu,0.5,10,"arch_sweep_004_hidden_dims[1024, 512, 256]","[1024, 512, 256]",2048,0.001,0.9,1,30,0,adam,experiments/arch_sweep_20251015_124009,,10,42,True,True,0.5,5,10,step,0.8,True,True,True,0.2,False,0.0001,5,"arch_sweep_004_hidden_dims[1024, 512, 256]",0.8454332552693209,14
